territori,tipus_de_territori,any,superficie_mitja
el raval,Barri,2000,
el barri gotic,Barri,2000,
la barceloneta,Barri,2000,
sant pere santa caterina i la ribera,Barri,2000,
el fort pienc,Barri,2000,
la sagrada familia,Barri,2000,
la dreta de leixample,Barri,2000,
lantiga esquerra de leixample,Barri,2000,
la nova esquerra de leixample,Barri,2000,
sant antoni,Barri,2000,
el poble sec,Barri,2000,
la marina del prat vermell,Barri,2000,
la marina de port,Barri,2000,
la font de la guatlla,Barri,2000,
hostafrancs,Barri,2000,
la bordeta,Barri,2000,
sants badal,Barri,2000,
sants,Barri,2000,
les corts,Barri,2000,
la maternitat i sant ramon,Barri,2000,
pedralbes,Barri,2000,
vallvidrera el tibidabo i les planes,Barri,2000,
sarria,Barri,2000,
les tres torres,Barri,2000,
sant gervasi la bonanova,Barri,2000,
sant gervasi galvany,Barri,2000,
el putxet i el farro,Barri,2000,
vallcarca i els penitents,Barri,2000,
el coll,Barri,2000,
la salut,Barri,2000,
la vila de gracia,Barri,2000,
el camp den grassot i gracia nova,Barri,2000,
el baix guinardo,Barri,2000,
can baro,Barri,2000,
el guinardo,Barri,2000,
la font den fargues,Barri,2000,
el carmel,Barri,2000,
la teixonera,Barri,2000,
sant genis dels agudells,Barri,2000,
montbau,Barri,2000,
la vall dhebron,Barri,2000,
la clota,Barri,2000,
horta,Barri,2000,
vilapicina i la torre llobeta,Barri,2000,
porta,Barri,2000,
el turo de la peira,Barri,2000,
can peguera,Barri,2000,
la guineueta,Barri,2000,
canyelles,Barri,2000,
les roquetes,Barri,2000,
verdun,Barri,2000,
la prosperitat,Barri,2000,
la trinitat nova,Barri,2000,
torre baro,Barri,2000,
ciutat meridiana,Barri,2000,
vallbona,Barri,2000,
la trinitat vella,Barri,2000,
baro de viver,Barri,2000,
el bon pastor,Barri,2000,
sant andreu,Barri,2000,
la sagrera,Barri,2000,
el congres i els indians,Barri,2000,
navas,Barri,2000,
el camp de larpa del clot,Barri,2000,
el clot,Barri,2000,
el parc i la llacuna del poblenou,Barri,2000,
la vila olimpica del poblenou,Barri,2000,
el poblenou,Barri,2000,
diagonal mar i el front maritim del poblenou,Barri,2000,
el besos i el maresme,Barri,2000,
provencals del poblenou,Barri,2000,
sant marti de provencals,Barri,2000,
la verneda i la pau,Barri,2000,
el raval,Barri,2001,
el barri gotic,Barri,2001,
la barceloneta,Barri,2001,
sant pere santa caterina i la ribera,Barri,2001,
el fort pienc,Barri,2001,
la sagrada familia,Barri,2001,
la dreta de leixample,Barri,2001,
lantiga esquerra de leixample,Barri,2001,
la nova esquerra de leixample,Barri,2001,
sant antoni,Barri,2001,
el poble sec,Barri,2001,
la marina del prat vermell,Barri,2001,
la marina de port,Barri,2001,
la font de la guatlla,Barri,2001,
hostafrancs,Barri,2001,
la bordeta,Barri,2001,
sants badal,Barri,2001,
sants,Barri,2001,
les corts,Barri,2001,
la maternitat i sant ramon,Barri,2001,
pedralbes,Barri,2001,
vallvidrera el tibidabo i les planes,Barri,2001,
sarria,Barri,2001,
les tres torres,Barri,2001,
sant gervasi la bonanova,Barri,2001,
sant gervasi galvany,Barri,2001,
el putxet i el farro,Barri,2001,
vallcarca i els penitents,Barri,2001,
el coll,Barri,2001,
la salut,Barri,2001,
la vila de gracia,Barri,2001,
el camp den grassot i gracia nova,Barri,2001,
el baix guinardo,Barri,2001,
can baro,Barri,2001,
el guinardo,Barri,2001,
la font den fargues,Barri,2001,
el carmel,Barri,2001,
la teixonera,Barri,2001,
sant genis dels agudells,Barri,2001,
montbau,Barri,2001,
la vall dhebron,Barri,2001,
la clota,Barri,2001,
horta,Barri,2001,
vilapicina i la torre llobeta,Barri,2001,
porta,Barri,2001,
el turo de la peira,Barri,2001,
can peguera,Barri,2001,
la guineueta,Barri,2001,
canyelles,Barri,2001,
les roquetes,Barri,2001,
verdun,Barri,2001,
la prosperitat,Barri,2001,
la trinitat nova,Barri,2001,
torre baro,Barri,2001,
ciutat meridiana,Barri,2001,
vallbona,Barri,2001,
la trinitat vella,Barri,2001,
baro de viver,Barri,2001,
el bon pastor,Barri,2001,
sant andreu,Barri,2001,
la sagrera,Barri,2001,
el congres i els indians,Barri,2001,
navas,Barri,2001,
el camp de larpa del clot,Barri,2001,
el clot,Barri,2001,
el parc i la llacuna del poblenou,Barri,2001,
la vila olimpica del poblenou,Barri,2001,
el poblenou,Barri,2001,
diagonal mar i el front maritim del poblenou,Barri,2001,
el besos i el maresme,Barri,2001,
provencals del poblenou,Barri,2001,
sant marti de provencals,Barri,2001,
la verneda i la pau,Barri,2001,
el raval,Barri,2002,
el barri gotic,Barri,2002,
la barceloneta,Barri,2002,
sant pere santa caterina i la ribera,Barri,2002,
el fort pienc,Barri,2002,
la sagrada familia,Barri,2002,
la dreta de leixample,Barri,2002,
lantiga esquerra de leixample,Barri,2002,
la nova esquerra de leixample,Barri,2002,
sant antoni,Barri,2002,
el poble sec,Barri,2002,
la marina del prat vermell,Barri,2002,
la marina de port,Barri,2002,
la font de la guatlla,Barri,2002,
hostafrancs,Barri,2002,
la bordeta,Barri,2002,
sants badal,Barri,2002,
sants,Barri,2002,
les corts,Barri,2002,
la maternitat i sant ramon,Barri,2002,
pedralbes,Barri,2002,
vallvidrera el tibidabo i les planes,Barri,2002,
sarria,Barri,2002,
les tres torres,Barri,2002,
sant gervasi la bonanova,Barri,2002,
sant gervasi galvany,Barri,2002,
el putxet i el farro,Barri,2002,
vallcarca i els penitents,Barri,2002,
el coll,Barri,2002,
la salut,Barri,2002,
la vila de gracia,Barri,2002,
el camp den grassot i gracia nova,Barri,2002,
el baix guinardo,Barri,2002,
can baro,Barri,2002,
el guinardo,Barri,2002,
la font den fargues,Barri,2002,
el carmel,Barri,2002,
la teixonera,Barri,2002,
sant genis dels agudells,Barri,2002,
montbau,Barri,2002,
la vall dhebron,Barri,2002,
la clota,Barri,2002,
horta,Barri,2002,
vilapicina i la torre llobeta,Barri,2002,
porta,Barri,2002,
el turo de la peira,Barri,2002,
can peguera,Barri,2002,
la guineueta,Barri,2002,
canyelles,Barri,2002,
les roquetes,Barri,2002,
verdun,Barri,2002,
la prosperitat,Barri,2002,
la trinitat nova,Barri,2002,
torre baro,Barri,2002,
ciutat meridiana,Barri,2002,
vallbona,Barri,2002,
la trinitat vella,Barri,2002,
baro de viver,Barri,2002,
el bon pastor,Barri,2002,
sant andreu,Barri,2002,
la sagrera,Barri,2002,
el congres i els indians,Barri,2002,
navas,Barri,2002,
el camp de larpa del clot,Barri,2002,
el clot,Barri,2002,
el parc i la llacuna del poblenou,Barri,2002,
la vila olimpica del poblenou,Barri,2002,
el poblenou,Barri,2002,
diagonal mar i el front maritim del poblenou,Barri,2002,
el besos i el maresme,Barri,2002,
provencals del poblenou,Barri,2002,
sant marti de provencals,Barri,2002,
la verneda i la pau,Barri,2002,
el raval,Barri,2003,
el barri gotic,Barri,2003,
la barceloneta,Barri,2003,
sant pere santa caterina i la ribera,Barri,2003,
el fort pienc,Barri,2003,
la sagrada familia,Barri,2003,
la dreta de leixample,Barri,2003,
lantiga esquerra de leixample,Barri,2003,
la nova esquerra de leixample,Barri,2003,
sant antoni,Barri,2003,
el poble sec,Barri,2003,
la marina del prat vermell,Barri,2003,
la marina de port,Barri,2003,
la font de la guatlla,Barri,2003,
hostafrancs,Barri,2003,
la bordeta,Barri,2003,
sants badal,Barri,2003,
sants,Barri,2003,
les corts,Barri,2003,
la maternitat i sant ramon,Barri,2003,
pedralbes,Barri,2003,
vallvidrera el tibidabo i les planes,Barri,2003,
sarria,Barri,2003,
les tres torres,Barri,2003,
sant gervasi la bonanova,Barri,2003,
sant gervasi galvany,Barri,2003,
el putxet i el farro,Barri,2003,
vallcarca i els penitents,Barri,2003,
el coll,Barri,2003,
